Age,Income,LoanAmount,CreditScore,Approved
25,133382.07,85206.14,470,1
75,34491.51,66263.79,708,0
67,60899.71,129642.65,677,1
45,65451.1,67215.24,487,0
45,37752.2,71394.71,529,0
54,39456.14,104212.87,418,0
58,37350.83,96651.42,455,0
53,51208.33,144324.94,764,0
44,64430.72,91151.07,403,0
71,52136.22,67522.86,801,1
34,69893.71,165897.26,474,0
26,18314.1,28895.63,720,0
50,43952.92,31596.51,433,0
70,29386.49,35469.58,690,1
37,57003.12,88152.8,800,1
30,56582.71,69669.78,332,0
45,46267.22,61559.18,354,0
65,63268.29,78100.89,818,1
46,80733.3,48742.56,311,0
30,47559.64,99529.8,827,1
63,28973.95,57751.78,672,0
52,22233.85,47435.0,783,0
23,49913.91,48954.31,527,0
35,55322.41,68552.01,606,0
68,30189.16,61858.78,756,0
22,70465.85,140866.08,459,0
64,38968.99,68812.45,630,0
42,21413.64,29465.88,524,0
19,91878.12,255635.01,803,0
27,86854.88,117204.2,755,1
73,17893.63,29328.52,344,0
47,37000.99,81227.7,513,0
67,36286.76,67404.6,358,0
62,111273.27,152134.47,494,0
22,46646.52,74126.55,788,0
72,23203.56,57688.73,456,0
73,76195.1,91077.74,525,0
50,26492.37,22667.89,711,1
71,43037.61,55213.3,504,0
18,33360.09,87531.39,378,0
35,37040.69,26760.95,423,0
49,78325.54,233350.6,770,0
64,104889.75,194309.02,517,0
66,25921.18,76781.5,815,0
28,67039.56,190894.56,403,0
38,33983.26,55461.84,692,0
43,34515.51,34385.31,733,1
42,62649.95,57150.03,630,1
39,29320.69,32251.98,442,0
44,62025.53,141128.64,839,0
66,70619.15,83498.32,577,0
30,39487.28,53448.53,532,0
50,95181.33,154379.07,828,1
51,1500000.0,72196.48,389,1
58,96057.58,93510.47,791,1
52,18545.94,9506.03,498,1
18,189067.06,122939.16,661,1
38,40010.57,110505.82,740,0
65,27415.02,58086.71,325,0
72,43637.15,51605.36,324,0
23,29049.63,27393.26,693,1
45,59485.19,73503.88,806,1
34,97132.24,76442.33,600,1
22,29830.06,85129.99,638,0
48,65493.07,161146.71,566,0
22,22779.87,37722.95,760,0
55,82164.4,218755.03,755,0
20,60362.19,67825.7,659,1
70,83959.65,192502.82,367,0
40,46111.91,121750.72,711,0
54,39435.5,54891.13,790,1
70,73722.16,176465.87,348,0
54,25488.32,31546.41,401,0
27,20508.36,25576.85,515,0
27,48899.33,37537.23,737,1
36,40344.15,64556.5,458,0
34,64661.2,150290.73,788,0
38,84607.29,241177.48,541,0
31,63991.6,128590.63,304,0
26,81304.09,216093.18,660,0
63,57556.72,147128.59,758,0
18,62774.1,58590.69,547,1
68,46243.28,79286.12,721,0
62,61853.42,49007.01,314,0
30,53280.54,117503.99,421,0
21,57675.54,165802.7,576,0
18,45100.02,38006.85,752,1
66,73457.67,171502.2,689,0
57,34364.31,71498.22,593,0
49,48573.12,95155.35,745,0
51,94456.24,139351.35,509,0
45,30504.79,42335.44,601,0
48,16631.89,10197.39,522,0
25,58878.34,61514.43,302,0
56,43110.54,23190.98,817,1
43,81261.78,158748.37,392,0
75,45923.97,35114.99,819,1
51,36236.8,97206.97,727,0
71,47197.27,85325.94,792,1
71,84671.5,190445.23,534,0
20,65361.25,99815.95,460,0
67,14516.61,27602.6,630,0
29,53792.2,153665.38,632,0
18,55153.81,38984.65,349,0
71,48575.52,55125.66,822,1
61,36118.3,88488.79,791,0
22,89077.85,66527.17,571,1
47,91310.13,62926.63,551,1
47,16291.84,22871.36,389,0
74,32893.17,24025.82,745,1
34,45598.71,89496.41,631,0
65,78767.37,83941.45,438,0
64,49882.55,136640.51,656,0
40,34828.91,85635.59,573,0
32,69896.22,157214.97,318,0
54,44105.16,90078.61,610,0
38,46226.09,122899.65,453,0
31,48359.64,51147.82,689,1
19,65326.58,175256.32,559,0
28,42012.61,103927.9,424,0
68,69111.28,163821.52,653,0
56,47262.17,89946.49,572,0
55,28752.84,32076.96,544,1
51,48127.64,75024.72,749,1
55,29507.31,73293.99,546,0
67,50035.77,28993.04,819,1
51,74216.14,182210.05,440,0
35,28657.93,31528.79,661,0
47,58814.09,50625.58,307,0
